date,store_id,sku_id,category,region,price,promotion,holiday,units_sold,lead_time_days,lag_1,lag_7,lag_14,lag_28,rolling_mean_7,rolling_mean_28,day_of_week,month,week_of_year,weekend
2024-03-09,S01,SKU001,Beverages,South,219.4,0,0,68,9,86.0,71.0,70.0,72.0,71.57142857142857,70.5,5,3,10,1
2024-03-10,S01,SKU001,Beverages,South,218.19,0,0,69,8,68.0,79.0,67.0,69.0,71.14285714285714,70.35714285714286,6,3,10,1
2024-03-11,S01,SKU001,Beverages,South,214.14,0,0,61,6,69.0,69.0,67.0,64.0,69.71428571428571,70.35714285714286,0,3,11,0
2024-03-12,S01,SKU001,Beverages,South,216.32,0,0,78,3,61.0,68.0,88.0,85.0,68.57142857142857,70.25,1,3,11,0
2024-03-13,S01,SKU001,Beverages,South,198.79,1,0,88,4,78.0,63.0,67.0,70.0,70.0,70.0,2,3,11,0
2024-03-14,S01,SKU001,Beverages,South,216.68,0,0,67,3,88.0,65.0,66.0,62.0,73.57142857142857,70.64285714285714,3,3,11,0
2024-03-15,S01,SKU001,Beverages,South,221.37,0,0,66,6,67.0,86.0,68.0,70.0,73.85714285714286,70.82142857142857,4,3,11,0
2024-03-16,S01,SKU001,Beverages,South,201.62,1,0,96,3,66.0,68.0,71.0,70.0,71.0,70.67857142857143,5,3,11,1
2024-03-17,S01,SKU001,Beverages,South,218.11,0,0,76,6,96.0,69.0,79.0,73.0,75.0,71.60714285714286,6,3,11,1
2024-03-18,S01,SKU001,Beverages,South,221.1,0,0,69,7,76.0,61.0,69.0,67.0,76.0,71.71428571428571,0,3,12,0
2024-03-19,S01,SKU001,Beverages,South,217.56,0,0,70,5,69.0,78.0,68.0,65.0,77.14285714285714,71.78571428571429,1,3,12,0
2024-03-20,S01,SKU001,Beverages,South,226.85,0,0,76,3,70.0,88.0,63.0,64.0,76.0,71.96428571428571,2,3,12,0
2024-03-21,S01,SKU001,Beverages,South,217.42,0,0,63,2,76.0,67.0,65.0,74.0,74.28571428571429,72.39285714285714,3,3,12,0
2024-03-22,S01,SKU001,Beverages,South,203.8,1,0,81,8,63.0,66.0,86.0,75.0,73.71428571428571,72.0,4,3,12,0
2024-03-23,S01,SKU001,Beverages,South,221.44,0,0,68,4,81.0,96.0,68.0,70.0,75.85714285714286,72.21428571428571,5,3,12,1
2024-03-24,S01,SKU001,Beverages,South,220.11,0,0,73,8,68.0,76.0,69.0,67.0,71.85714285714286,72.14285714285714,6,3,12,1
2024-03-25,S01,SKU001,Beverages,South,219.11,0,0,70,9,73.0,69.0,61.0,67.0,71.42857142857143,72.35714285714286,0,3,13,0
2024-03-26,S01,SKU001,Beverages,South,219.16,0,0,70,8,70.0,70.0,78.0,88.0,71.57142857142857,72.46428571428571,1,3,13,0
2024-03-27,S01,SKU001,Beverages,South,218.71,0,0,60,3,70.0,76.0,88.0,67.0,71.57142857142857,71.82142857142857,2,3,13,0
2024-03-28,S01,SKU001,Beverages,South,214.88,0,0,74,5,60.0,63.0,67.0,66.0,69.28571428571429,71.57142857142857,3,3,13,0
2024-03-29,S01,SKU001,Beverages,South,219.74,0,0,64,3,74.0,81.0,66.0,68.0,70.85714285714286,71.85714285714286,4,3,13,0
2024-03-30,S01,SKU001,Beverages,South,221.86,0,0,83,4,64.0,68.0,96.0,71.0,68.42857142857143,71.71428571428571,5,3,13,1
2024-03-31,S01,SKU001,Beverages,South,221.39,0,0,83,5,83.0,73.0,76.0,79.0,70.57142857142857,72.14285714285714,6,3,13,1
2024-04-01,S01,SKU001,Beverages,South,218.96,0,0,69,7,83.0,70.0,69.0,69.0,72.0,72.28571428571429,0,4,14,0
2024-04-02,S01,SKU001,Beverages,South,223.2,0,0,63,6,69.0,70.0,70.0,68.0,71.85714285714286,72.28571428571429,1,4,14,0
2024-04-03,S01,SKU001,Beverages,South,220.17,0,0,75,7,63.0,60.0,76.0,63.0,70.85714285714286,72.10714285714286,2,4,14,0
2024-04-04,S01,SKU001,Beverages,South,207.87,1,0,94,6,75.0,74.0,63.0,65.0,73.0,72.53571428571429,3,4,14,0
2024-04-05,S01,SKU001,Beverages,South,216.07,0,0,67,9,94.0,64.0,81.0,86.0,75.85714285714286,73.57142857142857,4,4,14,0
2024-04-06,S01,SKU001,Beverages,South,222.04,0,0,71,9,67.0,83.0,68.0,68.0,76.28571428571429,72.89285714285714,5,4,14,1
2024-04-07,S01,SKU001,Beverages,South,215.93,0,0,72,9,71.0,83.0,73.0,69.0,74.57142857142857,73.0,6,4,14,1
2024-04-08,S01,SKU001,Beverages,South,217.79,0,0,75,2,72.0,69.0,70.0,61.0,73.0,73.10714285714286,0,4,15,0
2024-04-09,S01,SKU001,Beverages,South,220.94,0,0,69,6,75.0,63.0,70.0,78.0,73.85714285714286,73.60714285714286,1,4,15,0
2024-04-10,S01,SKU001,Beverages,South,225.27,0,0,58,3,69.0,75.0,60.0,88.0,74.71428571428571,73.28571428571429,2,4,15,0
2024-04-11,S01,SKU001,Beverages,South,197.54,1,0,99,9,58.0,94.0,74.0,67.0,72.28571428571429,72.21428571428571,3,4,15,0
2024-04-12,S01,SKU001,Beverages,South,222.73,0,0,66,3,99.0,67.0,64.0,66.0,73.0,73.35714285714286,4,4,15,0
2024-04-13,S01,SKU001,Beverages,South,220.71,0,0,75,7,66.0,71.0,83.0,96.0,72.85714285714286,73.35714285714286,5,4,15,1
2024-04-14,S01,SKU001,Beverages,South,217.09,0,0,74,4,75.0,72.0,83.0,76.0,73.42857142857143,72.60714285714286,6,4,15,1
2024-04-15,S01,SKU001,Beverages,South,223.24,0,0,63,3,74.0,75.0,69.0,69.0,73.71428571428571,72.53571428571429,0,4,16,0
2024-04-16,S01,SKU001,Beverages,South,224.83,0,0,65,9,63.0,69.0,63.0,70.0,72.0,72.32142857142857,1,4,16,0
2024-04-17,S01,SKU001,Beverages,South,222.73,0,0,68,9,65.0,58.0,75.0,76.0,71.42857142857143,72.14285714285714,2,4,16,0
2024-04-18,S01,SKU001,Beverages,South,222.77,0,0,73,5,68.0,99.0,94.0,63.0,72.85714285714286,71.85714285714286,3,4,16,0
2024-04-19,S01,SKU001,Beverages,South,219.26,0,0,59,2,73.0,66.0,67.0,81.0,69.14285714285714,72.21428571428571,4,4,16,0
2024-04-20,S01,SKU001,Beverages,South,218.43,0,0,75,2,59.0,75.0,71.0,68.0,68.14285714285714,71.42857142857143,5,4,16,1
2024-04-21,S01,SKU001,Beverages,South,215.81,0,0,67,5,75.0,74.0,72.0,73.0,68.14285714285714,71.67857142857143,6,4,16,1
2024-04-22,S01,SKU001,Beverages,South,221.39,0,0,71,7,67.0,63.0,75.0,70.0,67.14285714285714,71.46428571428571,0,4,17,0
2024-04-23,S01,SKU001,Beverages,South,195.33,1,0,92,8,71.0,65.0,69.0,70.0,68.28571428571429,71.5,1,4,17,0
2024-04-24,S01,SKU001,Beverages,South,221.46,0,0,72,7,92.0,68.0,58.0,60.0,72.14285714285714,72.28571428571429,2,4,17,0
2024-04-25,S01,SKU001,Beverages,South,220.4,0,0,72,9,72.0,73.0,99.0,74.0,72.71428571428571,72.71428571428571,3,4,17,0
2024-04-26,S01,SKU001,Beverages,South,221.69,0,0,65,5,72.0,59.0,66.0,64.0,72.57142857142857,72.64285714285714,4,4,17,0
2024-04-27,S01,SKU001,Beverages,South,222.65,0,0,71,3,65.0,75.0,75.0,83.0,73.42857142857143,72.67857142857143,5,4,17,1
2024-04-28,S01,SKU001,Beverages,South,219.06,0,0,73,3,71.0,67.0,74.0,83.0,72.85714285714286,72.25,6,4,17,1
2024-04-29,S01,SKU001,Beverages,South,215.66,0,0,61,2,73.0,71.0,63.0,69.0,73.71428571428571,71.89285714285714,0,4,18,0
2024-04-30,S01,SKU001,Beverages,South,217.7,0,0,72,9,61.0,92.0,65.0,63.0,72.28571428571429,71.60714285714286,1,4,18,0
2024-05-01,S01,SKU001,Beverages,South,223.53,0,0,74,9,72.0,72.0,68.0,75.0,69.42857142857143,71.92857142857143,2,5,18,0
2024-05-02,S01,SKU001,Beverages,South,200.01,1,0,97,6,74.0,72.0,73.0,94.0,69.71428571428571,71.89285714285714,3,5,18,0
2024-05-03,S01,SKU001,Beverages,South,217.98,0,0,61,7,97.0,65.0,59.0,67.0,73.28571428571429,72.0,4,5,18,0
2024-05-04,S01,SKU001,Beverages,South,218.76,0,0,77,6,61.0,71.0,75.0,71.0,72.71428571428571,71.78571428571429,5,5,18,1
2024-05-05,S01,SKU001,Beverages,South,221.24,0,0,68,9,77.0,73.0,67.0,72.0,73.57142857142857,72.0,6,5,18,1
2024-05-06,S01,SKU001,Beverages,South,201.95,1,0,80,5,68.0,61.0,71.0,75.0,72.85714285714286,71.85714285714286,0,5,19,0
2024-05-07,S01,SKU001,Beverages,South,200.72,1,0,84,3,80.0,72.0,92.0,69.0,75.57142857142857,72.03571428571429,1,5,19,0
2024-05-08,S01,SKU001,Beverages,South,221.35,0,0,66,8,84.0,74.0,72.0,58.0,77.28571428571429,72.57142857142857,2,5,19,0
2024-05-09,S01,SKU001,Beverages,South,224.3,0,0,65,6,66.0,97.0,72.0,99.0,76.14285714285714,72.85714285714286,3,5,19,0
2024-05-10,S01,SKU001,Beverages,South,223.46,0,0,65,5,65.0,61.0,65.0,66.0,71.57142857142857,71.64285714285714,4,5,19,0
2024-05-11,S01,SKU001,Beverages,South,219.51,0,0,74,9,65.0,77.0,71.0,75.0,72.14285714285714,71.60714285714286,5,5,19,1
2024-05-12,S01,SKU001,Beverages,South,226.79,0,0,72,9,74.0,68.0,73.0,74.0,71.71428571428571,71.57142857142857,6,5,19,1
2024-05-13,S01,SKU001,Beverages,South,217.15,0,0,69,4,72.0,80.0,61.0,63.0,72.28571428571429,71.5,0,5,20,0
2024-05-14,S01,SKU001,Beverages,South,220.98,0,0,62,8,69.0,84.0,72.0,65.0,70.71428571428571,71.71428571428571,1,5,20,0
2024-05-15,S01,SKU001,Beverages,South,216.25,0,0,65,3,62.0,66.0,74.0,68.0,67.57142857142857,71.60714285714286,2,5,20,0
2024-05-16,S01,SKU001,Beverages,South,226.33,0,0,71,2,65.0,65.0,97.0,73.0,67.42857142857143,71.5,3,5,20,0
2024-05-17,S01,SKU001,Beverages,South,218.6,0,0,65,6,71.0,65.0,61.0,59.0,68.28571428571429,71.42857142857143,4,5,20,0
2024-05-18,S01,SKU001,Beverages,South,221.98,0,0,70,4,65.0,74.0,77.0,75.0,68.28571428571429,71.64285714285714,5,5,20,1
2024-05-19,S01,SKU001,Beverages,South,219.96,0,0,84,6,70.0,72.0,68.0,67.0,67.71428571428571,71.46428571428571,6,5,20,1
2024-05-20,S01,SKU001,Beverages,South,224.67,0,0,66,3,84.0,69.0,80.0,71.0,69.42857142857143,72.07142857142857,0,5,21,0
2024-05-21,S01,SKU001,Beverages,South,219.38,0,0,62,9,66.0,62.0,84.0,92.0,69.0,71.89285714285714,1,5,21,0
2024-05-22,S01,SKU001,Beverages,South,217.13,0,0,69,8,62.0,65.0,66.0,72.0,69.0,70.82142857142857,2,5,21,0
2024-05-23,S01,SKU001,Beverages,South,201.48,1,0,89,8,69.0,71.0,65.0,72.0,69.57142857142857,70.71428571428571,3,5,21,0
2024-05-24,S01,SKU001,Beverages,South,223.03,0,0,56,9,89.0,65.0,65.0,65.0,72.14285714285714,71.32142857142857,4,5,21,0
2024-05-25,S01,SKU001,Beverages,South,215.01,0,0,78,2,56.0,70.0,74.0,71.0,70.85714285714286,71.0,5,5,21,1
2024-05-26,S01,SKU001,Beverages,South,217.57,0,0,63,6,78.0,84.0,72.0,73.0,72.0,71.25,6,5,21,1
2024-05-27,S01,SKU001,Beverages,South,227.93,0,0,66,4,63.0,66.0,69.0,61.0,69.0,70.89285714285714,0,5,22,0
2024-05-28,S01,SKU001,Beverages,South,221.47,0,0,57,8,66.0,62.0,62.0,72.0,69.0,71.07142857142857,1,5,22,0
2024-05-29,S01,SKU001,Beverages,South,219.66,0,0,69,5,57.0,69.0,65.0,74.0,68.28571428571429,70.53571428571429,2,5,22,0
2024-05-30,S01,SKU001,Beverages,South,222.15,0,0,61,5,69.0,89.0,71.0,97.0,68.28571428571429,70.35714285714286,3,5,22,0
2024-05-31,S01,SKU001,Beverages,South,216.74,0,0,61,8,61.0,56.0,65.0,61.0,64.28571428571429,69.07142857142857,4,5,22,0
2024-06-01,S01,SKU001,Beverages,South,219.31,0,0,77,8,61.0,78.0,70.0,77.0,65.0,69.07142857142857,5,6,22,1
2024-06-02,S01,SKU001,Beverages,South,202.74,1,0,93,5,77.0,63.0,84.0,68.0,64.85714285714286,69.07142857142857,6,6,22,1
2024-06-03,S01,SKU001,Beverages,South,218.75,0,0,60,3,93.0,66.0,66.0,80.0,69.14285714285714,69.96428571428571,0,6,23,0
2024-06-04,S01,SKU001,Beverages,South,197.59,1,0,88,9,60.0,57.0,62.0,84.0,68.28571428571429,69.25,1,6,23,0
2024-06-05,S01,SKU001,Beverages,South,223.73,0,0,52,2,88.0,69.0,69.0,66.0,72.71428571428571,69.39285714285714,2,6,23,0
2024-06-06,S01,SKU001,Beverages,South,217.21,0,0,65,2,52.0,61.0,89.0,65.0,70.28571428571429,68.89285714285714,3,6,23,0
2024-06-07,S01,SKU001,Beverages,South,219.1,0,0,63,6,65.0,61.0,56.0,65.0,70.85714285714286,68.89285714285714,4,6,23,0
2024-06-08,S01,SKU001,Beverages,South,222.27,0,0,72,2,63.0,77.0,78.0,74.0,71.14285714285714,68.82142857142857,5,6,23,1
2024-06-09,S01,SKU001,Beverages,South,221.78,0,0,70,7,72.0,93.0,63.0,72.0,70.42857142857143,68.75,6,6,23,1
2024-06-10,S01,SKU001,Beverages,South,218.93,0,0,59,8,70.0,60.0,66.0,69.0,67.14285714285714,68.67857142857143,0,6,24,0
2024-06-11,S01,SKU001,Beverages,South,215.83,0,0,59,2,59.0,88.0,57.0,62.0,67.0,68.32142857142857,1,6,24,0
2024-06-12,S01,SKU001,Beverages,South,220.11,0,0,59,5,59.0,52.0,69.0,65.0,62.857142857142854,68.21428571428571,2,6,24,0
2024-06-13,S01,SKU001,Beverages,South,222.38,0,0,62,6,59.0,65.0,61.0,71.0,63.857142857142854,68.0,3,6,24,0
2024-06-14,S01,SKU001,Beverages,South,220.56,0,0,55,9,62.0,63.0,61.0,65.0,63.42857142857143,67.67857142857143,4,6,24,0
2024-06-15,S01,SKU001,Beverages,South,203.14,1,0,84,6,55.0,72.0,77.0,70.0,62.285714285714285,67.32142857142857,5,6,24,1
2024-06-16,S01,SKU001,Beverages,South,224.35,0,0,73,7,84.0,70.0,93.0,84.0,64.0,67.82142857142857,6,6,24,1
2024-06-17,S01,SKU001,Beverages,South,221.14,0,0,50,4,73.0,59.0,60.0,66.0,64.42857142857143,67.42857142857143,0,6,25,0
2024-06-18,S01,SKU001,Beverages,South,216.4,0,0,66,9,50.0,59.0,88.0,62.0,63.142857142857146,66.85714285714286,1,6,25,0
2024-06-19,S01,SKU001,Beverages,South,216.06,0,0,58,9,66.0,59.0,52.0,69.0,64.14285714285714,67.0,2,6,25,0
2024-06-20,S01,SKU001,Beverages,South,215.91,0,0,63,7,58.0,62.0,65.0,89.0,64.0,66.60714285714286,3,6,25,0
2024-06-21,S01,SKU001,Beverages,South,214.49,0,0,55,6,63.0,55.0,63.0,56.0,64.14285714285714,65.67857142857143,4,6,25,0
2024-06-22,S01,SKU001,Beverages,South,222.62,0,0,67,8,55.0,84.0,72.0,78.0,64.14285714285714,65.64285714285714,5,6,25,1
2024-06-23,S01,SKU001,Beverages,South,221.64,0,0,63,7,67.0,73.0,70.0,63.0,61.714285714285715,65.25,6,6,25,1
2024-06-24,S01,SKU001,Beverages,South,217.84,0,0,64,2,63.0,50.0,59.0,66.0,60.285714285714285,65.25,0,6,26,0
2024-06-25,S01,SKU001,Beverages,South,221.42,0,0,52,9,64.0,66.0,59.0,57.0,62.285714285714285,65.17857142857143,1,6,26,0
2024-06-26,S01,SKU001,Beverages,South,203.06,1,0,72,2,52.0,58.0,59.0,69.0,60.285714285714285,65.0,2,6,26,0
2024-06-27,S01,SKU001,Beverages,South,217.28,0,0,54,5,72.0,63.0,62.0,61.0,62.285714285714285,65.10714285714286,3,6,26,0
2024-06-28,S01,SKU001,Beverages,South,200.48,1,0,87,8,54.0,55.0,55.0,61.0,61.0,64.85714285714286,4,6,26,0
2024-06-29,S01,SKU001,Beverages,South,220.05,0,0,66,4,87.0,67.0,84.0,77.0,65.57142857142857,65.78571428571429,5,6,26,1
2024-06-30,S01,SKU001,Beverages,South,200.73,1,0,83,7,66.0,63.0,73.0,93.0,65.42857142857143,65.39285714285714,6,6,26,1
2024-07-01,S01,SKU001,Beverages,South,216.51,0,0,48,6,83.0,64.0,50.0,60.0,68.28571428571429,65.03571428571429,0,7,27,0
2024-07-02,S01,SKU001,Beverages,South,218.6,0,0,50,4,48.0,52.0,66.0,88.0,66.0,64.60714285714286,1,7,27,0
2024-07-03,S01,SKU001,Beverages,South,219.0,0,0,58,8,50.0,72.0,58.0,52.0,65.71428571428571,63.25,2,7,27,0
2024-07-04,S01,SKU001,Beverages,South,203.94,1,0,70,3,58.0,54.0,63.0,65.0,63.714285714285715,63.464285714285715,3,7,27,0
2024-07-05,S01,SKU001,Beverages,South,226.71,0,0,59,8,70.0,87.0,55.0,63.0,66.0,63.642857142857146,4,7,27,0
2024-07-06,S01,SKU001,Beverages,South,221.97,0,0,55,5,59.0,66.0,67.0,72.0,62.0,63.5,5,7,27,1
2024-07-07,S01,SKU001,Beverages,South,218.65,0,0,73,4,55.0,83.0,63.0,70.0,60.42857142857143,62.892857142857146,6,7,27,1
2024-07-08,S01,SKU001,Beverages,South,216.3,0,0,62,3,73.0,48.0,64.0,59.0,59.0,63.0,0,7,28,0
2024-07-09,S01,SKU001,Beverages,South,199.71,1,0,78,9,62.0,50.0,52.0,59.0,61.0,63.107142857142854,1,7,28,0
2024-07-10,S01,SKU001,Beverages,South,214.36,0,0,59,4,78.0,58.0,72.0,59.0,65.0,63.785714285714285,2,7,28,0
2024-07-11,S01,SKU001,Beverages,South,218.81,0,0,58,5,59.0,70.0,54.0,62.0,65.14285714285714,63.785714285714285,3,7,28,0
2024-07-12,S01,SKU001,Beverages,South,221.53,0,0,55,3,58.0,59.0,87.0,55.0,63.42857142857143,63.642857142857146,4,7,28,0
2024-07-13,S01,SKU001,Beverages,South,222.53,0,0,63,2,55.0,55.0,66.0,84.0,62.857142857142854,63.642857142857146,5,7,28,1
2024-07-14,S01,SKU001,Beverages,South,222.7,0,0,63,4,63.0,73.0,83.0,73.0,64.0,62.892857142857146,6,7,28,1
2024-07-15,S01,SKU001,Beverages,South,221.21,0,0,59,4,63.0,62.0,48.0,50.0,62.57142857142857,62.535714285714285,0,7,29,0
2024-07-16,S01,SKU001,Beverages,South,222.63,0,0,60,8,59.0,78.0,50.0,66.0,62.142857142857146,62.857142857142854,1,7,29,0
2024-07-17,S01,SKU001,Beverages,South,218.22,0,0,55,5,60.0,59.0,58.0,58.0,59.57142857142857,62.642857142857146,2,7,29,0
2024-07-18,S01,SKU001,Beverages,South,224.88,0,0,54,3,55.0,58.0,70.0,63.0,59.0,62.535714285714285,3,7,29,0
2024-07-19,S01,SKU001,Beverages,South,220.98,0,0,55,3,54.0,55.0,59.0,55.0,58.42857142857143,62.214285714285715,4,7,29,0
2024-07-20,S01,SKU001,Beverages,South,217.21,0,0,57,2,55.0,63.0,55.0,67.0,58.42857142857143,62.214285714285715,5,7,29,1
2024-07-21,S01,SKU001,Beverages,South,216.76,0,0,57,4,57.0,63.0,73.0,63.0,57.57142857142857,61.857142857142854,6,7,29,1
2024-07-22,S01,SKU001,Beverages,South,219.13,0,0,51,6,57.0,59.0,62.0,64.0,56.714285714285715,61.642857142857146,0,7,30,0
2024-07-23,S01,SKU001,Beverages,South,223.4,0,0,51,5,51.0,60.0,78.0,52.0,55.57142857142857,61.17857142857143,1,7,30,0
2024-07-24,S01,SKU001,Beverages,South,219.21,0,0,59,3,51.0,55.0,59.0,72.0,54.285714285714285,61.142857142857146,2,7,30,0
2024-07-25,S01,SKU001,Beverages,South,204.47,1,0,68,3,59.0,54.0,58.0,54.0,54.857142857142854,60.67857142857143,3,7,30,0
2024-07-26,S01,SKU001,Beverages,South,215.93,0,0,48,2,68.0,55.0,55.0,87.0,56.857142857142854,61.17857142857143,4,7,30,0
2024-07-27,S01,SKU001,Beverages,South,218.78,0,0,55,6,48.0,57.0,63.0,66.0,55.857142857142854,59.785714285714285,5,7,30,1
2024-07-28,S01,SKU001,Beverages,South,212.42,0,0,53,4,55.0,57.0,63.0,83.0,55.57142857142857,59.392857142857146,6,7,30,1
2024-07-29,S01,SKU001,Beverages,South,224.76,0,0,56,3,53.0,51.0,59.0,48.0,55.0,58.32142857142857,0,7,31,0
2024-07-30,S01,SKU001,Beverages,South,198.95,1,0,75,9,56.0,51.0,60.0,50.0,55.714285714285715,58.607142857142854,1,7,31,0
2024-07-31,S01,SKU001,Beverages,South,221.75,0,0,54,2,75.0,59.0,55.0,58.0,59.142857142857146,59.5,2,7,31,0
2024-08-01,S01,SKU001,Beverages,South,204.71,1,0,76,9,54.0,68.0,54.0,70.0,58.42857142857143,59.357142857142854,3,8,31,0
2024-08-02,S01,SKU001,Beverages,South,195.52,1,0,77,2,76.0,48.0,55.0,59.0,59.57142857142857,59.57142857142857,4,8,31,0
2024-08-03,S01,SKU001,Beverages,South,213.8,0,0,60,6,77.0,55.0,57.0,55.0,63.714285714285715,60.214285714285715,5,8,31,1
2024-08-04,S01,SKU001,Beverages,South,225.87,0,0,60,9,60.0,53.0,57.0,73.0,64.42857142857143,60.392857142857146,6,8,31,1
