date,store_id,sku_id,category,region,price,promotion,holiday,units_sold,lead_time_days,forecast_units,absolute_error
2025-10-19,S01,SKU001,Beverages,South,226.16,0,0,56,9,55.86,0.14
2025-10-20,S01,SKU001,Beverages,South,224.02,0,0,55,4,52.81,2.19
2025-10-21,S01,SKU001,Beverages,South,221.45,0,0,57,8,52.79,4.21
2025-10-22,S01,SKU001,Beverages,South,227.45,0,0,59,7,54.1,4.9
2025-10-23,S01,SKU001,Beverages,South,223.71,0,0,61,2,54.04,6.96
2025-10-24,S01,SKU001,Beverages,South,223.78,0,0,60,9,54.52,5.48
2025-10-25,S01,SKU001,Beverages,South,218.27,0,0,59,8,58.62,0.38
2025-10-26,S01,SKU001,Beverages,South,199.64,1,0,66,5,76.7,10.7
2025-10-27,S01,SKU001,Beverages,South,218.31,0,0,66,6,54.88,11.12
2025-10-28,S01,SKU001,Beverages,South,224.2,0,0,57,6,53.97,3.03
2025-10-29,S01,SKU001,Beverages,South,206.5,1,0,74,8,71.77,2.23
2025-10-30,S01,SKU001,Beverages,South,221.15,0,0,55,8,53.97,1.03
2025-10-31,S01,SKU001,Beverages,South,219.05,0,0,58,5,54.68,3.32
2025-11-01,S01,SKU001,Beverages,South,223.7,0,0,61,8,59.53,1.47
2025-11-02,S01,SKU001,Beverages,South,212.62,0,0,69,4,59.5,9.5
2025-11-03,S01,SKU001,Beverages,South,223.24,0,0,52,2,55.54,3.54
2025-11-04,S01,SKU001,Beverages,South,219.83,0,0,54,3,56.41,2.41
2025-11-05,S01,SKU001,Beverages,South,229.07,0,0,60,4,55.0,5.0
2025-11-06,S01,SKU001,Beverages,South,206.84,1,0,74,7,73.79,0.21
2025-11-07,S01,SKU001,Beverages,South,219.32,0,0,61,3,56.1,4.9
2025-11-08,S01,SKU001,Beverages,South,217.66,0,0,70,9,61.43,8.57
2025-11-09,S01,SKU001,Beverages,South,222.09,0,0,65,7,61.22,3.78
2025-11-10,S01,SKU001,Beverages,South,216.03,0,0,47,8,58.82,11.82
2025-11-11,S01,SKU001,Beverages,South,221.01,0,0,64,6,58.11,5.89
2025-11-12,S01,SKU001,Beverages,South,216.65,0,0,56,9,59.33,3.33
2025-11-13,S01,SKU001,Beverages,South,228.29,0,0,65,5,58.8,6.2
2025-11-14,S01,SKU001,Beverages,South,217.03,0,0,62,3,59.48,2.52
2025-11-15,S01,SKU001,Beverages,South,219.15,0,0,62,8,63.8,1.8
2025-11-16,S01,SKU001,Beverages,South,211.89,0,0,66,2,64.9,1.1
2025-11-17,S01,SKU001,Beverages,South,220.08,0,0,58,2,60.12,2.12
2025-11-18,S01,SKU001,Beverages,South,214.88,0,0,57,8,59.8,2.8
2025-11-19,S01,SKU001,Beverages,South,217.91,0,0,51,3,61.04,10.04
2025-11-20,S01,SKU001,Beverages,South,219.79,0,0,49,7,59.85,10.85
2025-11-21,S01,SKU001,Beverages,South,214.46,0,0,61,4,60.54,0.46
2025-11-22,S01,SKU001,Beverages,South,218.48,0,0,63,5,65.3,2.3
2025-11-23,S01,SKU001,Beverages,South,221.88,0,0,62,6,65.91,3.91
2025-11-24,S01,SKU001,Beverages,South,217.64,0,0,56,7,60.47,4.47
2025-11-25,S01,SKU001,Beverages,South,203.23,1,0,77,9,77.78,0.78
2025-11-26,S01,SKU001,Beverages,South,216.97,0,0,68,8,60.69,7.31
2025-11-27,S01,SKU001,Beverages,South,215.18,0,0,66,5,61.51,4.49
2025-11-28,S01,SKU001,Beverages,South,217.85,0,0,64,6,61.36,2.64
2025-11-29,S01,SKU001,Beverages,South,213.8,0,0,65,4,66.0,1.0
2025-11-30,S01,SKU001,Beverages,South,202.65,1,0,92,4,86.83,5.17
2025-12-01,S01,SKU001,Beverages,South,218.04,0,0,61,9,59.66,1.34
2025-12-02,S01,SKU001,Beverages,South,205.46,1,0,75,3,81.46,6.46
2025-12-03,S01,SKU001,Beverages,South,219.14,0,0,57,6,62.38,5.38
2025-12-04,S01,SKU001,Beverages,South,216.7,0,0,63,2,61.7,1.3
2025-12-05,S01,SKU001,Beverages,South,201.95,1,0,82,7,81.94,0.06
2025-12-06,S01,SKU001,Beverages,South,222.38,0,0,71,6,68.12,2.88
2025-12-07,S01,SKU001,Beverages,South,218.7,0,0,65,8,68.87,3.87
2025-12-08,S01,SKU001,Beverages,South,218.17,0,0,61,9,61.52,0.52
2025-12-09,S01,SKU001,Beverages,South,217.21,0,0,61,8,62.66,1.66
2025-12-10,S01,SKU001,Beverages,South,217.95,0,0,54,7,63.5,9.5
2025-12-11,S01,SKU001,Beverages,South,198.52,1,0,77,4,80.7,3.7
2025-12-12,S01,SKU001,Beverages,South,217.62,0,0,60,3,62.71,2.71
2025-12-13,S01,SKU001,Beverages,South,224.3,0,0,71,8,66.94,4.06
2025-12-14,S01,SKU001,Beverages,South,218.51,0,0,71,7,67.75,3.25
2025-12-15,S01,SKU001,Beverages,South,216.95,0,0,64,6,63.84,0.16
2025-12-16,S01,SKU001,Beverages,South,222.45,0,0,62,6,63.68,1.68
2025-12-17,S01,SKU001,Beverages,South,217.03,0,0,66,3,64.32,1.68
2025-12-18,S01,SKU001,Beverages,South,202.0,1,0,86,5,87.53,1.53
2025-12-19,S01,SKU001,Beverages,South,224.49,0,0,64,2,65.2,1.2
2025-12-20,S01,SKU001,Beverages,South,222.47,0,0,66,9,70.23,4.23
2025-12-21,S01,SKU001,Beverages,South,227.23,0,0,69,8,70.98,1.98
2025-12-22,S01,SKU001,Beverages,South,224.0,0,0,68,9,66.04,1.96
2025-12-23,S01,SKU001,Beverages,South,223.27,0,0,68,8,66.53,1.47
2025-12-24,S01,SKU001,Beverages,South,224.96,0,0,67,6,66.41,0.59
2025-12-25,S01,SKU001,Beverages,South,218.93,0,1,73,7,75.03,2.03
2025-12-26,S01,SKU001,Beverages,South,222.6,0,0,67,2,66.53,0.47
2025-12-27,S01,SKU001,Beverages,South,219.98,0,0,79,4,71.59,7.41
2025-12-28,S01,SKU001,Beverages,South,219.23,0,0,81,6,71.85,9.15
2025-12-29,S01,SKU001,Beverages,South,221.73,0,0,66,4,64.58,1.42
2025-12-30,S01,SKU001,Beverages,South,204.42,1,0,88,8,86.52,1.48
2025-12-31,S01,SKU001,Beverages,South,223.51,0,0,64,3,65.98,1.98
2025-08-13,S01,SKU002,Snacks,South,349.96,0,0,27,8,39.21,12.21
2025-08-14,S01,SKU002,Snacks,South,358.79,0,0,37,5,38.84,1.84
2025-08-15,S01,SKU002,Snacks,South,361.59,0,1,43,7,43.56,0.56
2025-08-16,S01,SKU002,Snacks,South,357.43,0,0,49,8,42.41,6.59
2025-08-17,S01,SKU002,Snacks,South,353.78,0,0,46,4,42.53,3.47
2025-08-18,S01,SKU002,Snacks,South,327.54,1,0,49,2,51.01,2.01
2025-08-19,S01,SKU002,Snacks,South,358.77,0,0,43,4,39.97,3.03
2025-08-20,S01,SKU002,Snacks,South,356.5,0,0,44,8,39.96,4.04
2025-08-21,S01,SKU002,Snacks,South,354.98,0,0,38,4,39.24,1.24
2025-08-22,S01,SKU002,Snacks,South,354.13,0,0,39,9,39.4,0.4
2025-08-23,S01,SKU002,Snacks,South,320.78,1,0,53,6,55.52,2.52
2025-08-24,S01,SKU002,Snacks,South,365.34,0,0,39,3,43.25,4.25
2025-08-25,S01,SKU002,Snacks,South,363.57,0,0,24,4,39.74,15.74
2025-08-26,S01,SKU002,Snacks,South,369.27,0,0,40,3,38.57,1.43
2025-08-27,S01,SKU002,Snacks,South,355.1,0,0,42,2,38.38,3.62
2025-08-28,S01,SKU002,Snacks,South,356.81,0,0,35,6,38.36,3.36
2025-08-29,S01,SKU002,Snacks,South,321.3,1,0,41,2,50.61,9.61
2025-08-30,S01,SKU002,Snacks,South,349.97,0,0,35,3,42.11,7.11
2025-08-31,S01,SKU002,Snacks,South,338.01,0,0,36,6,41.58,5.58
2025-09-01,S01,SKU002,Snacks,South,351.52,0,0,45,5,38.34,6.66
2025-09-02,S01,SKU002,Snacks,South,354.64,0,0,37,2,38.26,1.26
2025-09-03,S01,SKU002,Snacks,South,354.43,0,0,34,7,37.43,3.43
2025-09-04,S01,SKU002,Snacks,South,349.71,0,0,43,4,36.81,6.19
2025-09-05,S01,SKU002,Snacks,South,352.36,0,0,38,7,37.1,0.9
2025-09-06,S01,SKU002,Snacks,South,355.12,0,0,37,2,40.43,3.43
2025-09-07,S01,SKU002,Snacks,South,346.11,0,0,39,8,38.8,0.2
2025-09-08,S01,SKU002,Snacks,South,368.15,0,0,41,7,36.71,4.29
2025-09-09,S01,SKU002,Snacks,South,358.97,0,0,46,3,36.74,9.26
2025-09-10,S01,SKU002,Snacks,South,354.2,0,0,35,4,36.67,1.67
2025-09-11,S01,SKU002,Snacks,South,355.55,0,0,39,9,37.09,1.91
2025-09-12,S01,SKU002,Snacks,South,358.99,0,0,32,9,37.35,5.35
2025-09-13,S01,SKU002,Snacks,South,363.33,0,0,40,6,39.21,0.79
2025-09-14,S01,SKU002,Snacks,South,351.29,0,0,37,5,39.56,2.56
2025-09-15,S01,SKU002,Snacks,South,346.76,0,0,36,7,36.62,0.62
2025-09-16,S01,SKU002,Snacks,South,356.3,0,0,38,6,35.56,2.44
2025-09-17,S01,SKU002,Snacks,South,354.1,0,0,39,7,35.33,3.67
2025-09-18,S01,SKU002,Snacks,South,331.64,1,0,48,5,45.73,2.27
2025-09-19,S01,SKU002,Snacks,South,352.13,0,0,28,5,35.72,7.72
2025-09-20,S01,SKU002,Snacks,South,357.8,0,0,42,4,37.73,4.27
2025-09-21,S01,SKU002,Snacks,South,350.45,0,0,43,8,38.18,4.82
2025-09-22,S01,SKU002,Snacks,South,360.64,0,0,32,8,35.23,3.23
2025-09-23,S01,SKU002,Snacks,South,363.45,0,0,41,7,36.13,4.87
2025-09-24,S01,SKU002,Snacks,South,327.12,1,0,35,8,45.93,10.93
2025-09-25,S01,SKU002,Snacks,South,354.47,0,0,35,7,35.63,0.63
2025-09-26,S01,SKU002,Snacks,South,353.03,0,0,32,4,35.43,3.43
2025-09-27,S01,SKU002,Snacks,South,353.0,0,0,39,7,37.72,1.28
2025-09-28,S01,SKU002,Snacks,South,342.82,0,0,38,8,38.21,0.21
2025-09-29,S01,SKU002,Snacks,South,350.58,0,0,42,6,35.39,6.61
2025-09-30,S01,SKU002,Snacks,South,353.3,0,0,36,5,35.08,0.92
2025-10-01,S01,SKU002,Snacks,South,354.32,0,0,36,9,35.08,0.92
2025-10-02,S01,SKU002,Snacks,South,348.19,0,1,37,8,41.04,4.04
2025-10-03,S01,SKU002,Snacks,South,359.35,0,0,38,4,35.05,2.95
2025-10-04,S01,SKU002,Snacks,South,364.24,0,0,36,5,37.91,1.91
2025-10-05,S01,SKU002,Snacks,South,359.29,0,0,35,6,37.98,2.98
2025-10-06,S01,SKU002,Snacks,South,369.95,0,0,38,7,35.27,2.73
2025-10-07,S01,SKU002,Snacks,South,361.16,0,0,39,7,35.43,3.57
2025-10-08,S01,SKU002,Snacks,South,346.77,0,0,45,8,35.0,10.0
2025-10-09,S01,SKU002,Snacks,South,340.64,0,0,36,5,35.13,0.87
2025-10-10,S01,SKU002,Snacks,South,358.55,0,0,33,5,35.05,2.05
2025-10-11,S01,SKU002,Snacks,South,354.36,0,0,40,7,38.06,1.94
2025-10-12,S01,SKU002,Snacks,South,350.22,0,0,42,8,38.13,3.87
2025-10-13,S01,SKU002,Snacks,South,346.46,0,0,31,4,35.45,4.45
2025-10-14,S01,SKU002,Snacks,South,357.82,0,0,28,9,35.6,7.6
2025-10-15,S01,SKU002,Snacks,South,358.64,0,0,37,9,35.72,1.28
2025-10-16,S01,SKU002,Snacks,South,356.6,0,0,41,9,35.42,5.58
2025-10-17,S01,SKU002,Snacks,South,352.47,0,0,38,7,35.18,2.82
2025-10-18,S01,SKU002,Snacks,South,359.92,0,0,38,4,38.62,0.62
2025-10-19,S01,SKU002,Snacks,South,365.26,0,0,37,4,38.69,1.69
2025-10-20,S01,SKU002,Snacks,South,355.1,0,0,35,4,35.75,0.75
2025-10-21,S01,SKU002,Snacks,South,354.53,0,0,38,8,36.12,1.88
2025-10-22,S01,SKU002,Snacks,South,353.96,0,0,40,4,35.42,4.58
2025-10-23,S01,SKU002,Snacks,South,352.23,0,0,34,7,35.99,1.99
2025-10-24,S01,SKU002,Snacks,South,358.77,0,0,34,9,35.74,1.74
2025-10-25,S01,SKU002,Snacks,South,353.43,0,0,47,6,39.0,8.0
2025-10-26,S01,SKU002,Snacks,South,344.38,0,0,36,3,38.59,2.59
2025-10-27,S01,SKU002,Snacks,South,346.15,0,0,35,6,35.91,0.91
2025-10-28,S01,SKU002,Snacks,South,361.13,0,0,40,3,35.56,4.44
2025-10-29,S01,SKU002,Snacks,South,349.41,0,0,31,3,36.04,5.04
2025-10-30,S01,SKU002,Snacks,South,330.61,1,0,54,3,47.25,6.75
2025-10-31,S01,SKU002,Snacks,South,322.75,1,0,51,8,47.72,3.28
2025-11-01,S01,SKU002,Snacks,South,365.58,0,0,32,2,40.46,8.46
2025-11-02,S01,SKU002,Snacks,South,361.19,0,0,34,8,39.08,5.08
2025-11-03,S01,SKU002,Snacks,South,353.55,0,0,30,8,36.4,6.4
2025-11-04,S01,SKU002,Snacks,South,358.29,0,0,41,3,36.5,4.5
2025-11-05,S01,SKU002,Snacks,South,349.95,0,0,37,4,36.46,0.54
2025-11-06,S01,SKU002,Snacks,South,326.83,1,0,45,4,47.21,2.21
2025-11-07,S01,SKU002,Snacks,South,348.36,0,0,34,7,36.29,2.29
2025-11-08,S01,SKU002,Snacks,South,359.73,0,0,45,6,39.44,5.56
2025-11-09,S01,SKU002,Snacks,South,351.86,0,0,44,6,39.08,4.92
2025-11-10,S01,SKU002,Snacks,South,353.26,0,0,41,7,37.27,3.73
2025-11-11,S01,SKU002,Snacks,South,363.22,0,0,38,8,37.45,0.55
2025-11-12,S01,SKU002,Snacks,South,357.72,0,0,32,9,37.94,5.94
2025-11-13,S01,SKU002,Snacks,South,350.19,0,0,39,7,38.72,0.28
2025-11-14,S01,SKU002,Snacks,South,361.42,0,0,41,6,38.1,2.9
2025-11-15,S01,SKU002,Snacks,South,355.12,0,0,43,9,40.47,2.53
2025-11-16,S01,SKU002,Snacks,South,365.95,0,0,49,5,40.76,8.24
2025-11-17,S01,SKU002,Snacks,South,352.01,0,0,39,4,38.19,0.81
2025-11-18,S01,SKU002,Snacks,South,357.4,0,0,42,4,38.76,3.24
2025-11-19,S01,SKU002,Snacks,South,355.29,0,0,31,6,38.79,7.79
2025-11-20,S01,SKU002,Snacks,South,356.24,0,0,45,3,38.78,6.22
2025-11-21,S01,SKU002,Snacks,South,355.74,0,0,34,3,39.52,5.52
2025-11-22,S01,SKU002,Snacks,South,360.71,0,0,49,9,42.3,6.7
2025-11-23,S01,SKU002,Snacks,South,360.36,0,0,47,3,42.59,4.41
2025-11-24,S01,SKU002,Snacks,South,363.95,0,0,43,6,39.21,3.79
2025-11-25,S01,SKU002,Snacks,South,356.11,0,0,32,4,40.52,8.52
2025-11-26,S01,SKU002,Snacks,South,321.69,1,0,56,9,50.33,5.67
2025-11-27,S01,SKU002,Snacks,South,350.71,0,0,40,4,41.12,1.12
2025-11-28,S01,SKU002,Snacks,South,362.11,0,0,43,3,40.84,2.16
2025-11-29,S01,SKU002,Snacks,South,360.75,0,0,40,6,42.47,2.47
2025-11-30,S01,SKU002,Snacks,South,345.05,0,0,51,5,44.52,6.48
2025-12-01,S01,SKU002,Snacks,South,343.43,0,0,45,5,40.51,4.49
2025-12-02,S01,SKU002,Snacks,South,351.21,0,0,45,4,41.57,3.43
2025-12-03,S01,SKU002,Snacks,South,351.28,0,0,43,2,42.33,0.67
2025-12-04,S01,SKU002,Snacks,South,348.84,0,0,40,8,42.18,2.18
2025-12-05,S01,SKU002,Snacks,South,347.22,0,0,47,5,41.94,5.06
2025-12-06,S01,SKU002,Snacks,South,352.37,0,0,43,9,45.64,2.64
2025-12-07,S01,SKU002,Snacks,South,360.74,0,0,42,7,45.86,3.86
2025-12-08,S01,SKU002,Snacks,South,355.78,0,0,34,7,41.86,7.86
2025-12-09,S01,SKU002,Snacks,South,356.97,0,0,44,8,42.0,2.0
2025-12-10,S01,SKU002,Snacks,South,352.11,0,0,47,5,41.72,5.28
2025-12-11,S01,SKU002,Snacks,South,351.74,0,0,40,6,42.03,2.03
2025-12-12,S01,SKU002,Snacks,South,360.47,0,0,41,9,42.29,1.29
2025-12-13,S01,SKU002,Snacks,South,349.99,0,0,46,2,46.17,0.17
2025-12-14,S01,SKU002,Snacks,South,351.03,0,0,49,6,46.4,2.6
2025-12-15,S01,SKU002,Snacks,South,345.95,0,0,46,2,41.58,4.42
2025-12-16,S01,SKU002,Snacks,South,356.35,0,0,47,7,42.02,4.98
2025-12-17,S01,SKU002,Snacks,South,363.65,0,0,45,3,42.12,2.88
2025-12-18,S01,SKU002,Snacks,South,321.79,1,0,56,7,56.47,0.47
2025-12-19,S01,SKU002,Snacks,South,350.61,0,0,50,6,43.74,6.26
2025-12-20,S01,SKU002,Snacks,South,349.19,0,0,46,8,47.85,1.85
2025-12-21,S01,SKU002,Snacks,South,353.84,0,0,52,5,47.6,4.4
2025-12-22,S01,SKU002,Snacks,South,332.05,1,0,62,2,61.39,0.61
2025-12-23,S01,SKU002,Snacks,South,331.33,1,0,51,2,60.88,9.88
2025-12-24,S01,SKU002,Snacks,South,350.64,0,0,37,5,46.54,9.54
2025-12-25,S01,SKU002,Snacks,South,350.35,0,1,54,9,52.99,1.01
2025-12-26,S01,SKU002,Snacks,South,343.42,0,0,52,3,45.9,6.1
2025-12-27,S01,SKU002,Snacks,South,349.16,0,0,49,2,49.65,0.65
2025-12-28,S01,SKU002,Snacks,South,356.97,0,0,50,9,50.58,0.58
2025-12-29,S01,SKU002,Snacks,South,354.91,0,0,45,2,45.78,0.78
2025-12-30,S01,SKU002,Snacks,South,352.67,0,0,46,6,45.63,0.37
2025-12-31,S01,SKU002,Snacks,South,359.01,0,0,41,2,45.34,4.34
2025-08-13,S01,SKU003,Personal Care,South,261.32,0,0,26,3,21.32,4.68
2025-08-14,S01,SKU003,Personal Care,South,257.05,0,0,21,4,19.91,1.09
2025-08-15,S01,SKU003,Personal Care,South,256.1,0,1,16,6,24.96,8.96
2025-08-16,S01,SKU003,Personal Care,South,251.14,0,0,24,9,22.79,1.21
2025-08-17,S01,SKU003,Personal Care,South,259.49,0,0,20,8,22.34,2.34
2025-08-18,S01,SKU003,Personal Care,South,234.98,1,0,27,5,26.69,0.31
2025-08-19,S01,SKU003,Personal Care,South,256.76,0,0,18,2,21.75,3.75
2025-08-20,S01,SKU003,Personal Care,South,254.52,0,0,17,5,20.87,3.87
2025-08-21,S01,SKU003,Personal Care,South,259.12,0,0,13,7,20.63,7.63
2025-08-22,S01,SKU003,Personal Care,South,240.13,1,0,25,4,27.04,2.04
2025-08-23,S01,SKU003,Personal Care,South,263.71,0,0,24,3,22.21,1.79
2025-08-24,S01,SKU003,Personal Care,South,255.78,0,0,24,9,22.29,1.71
2025-08-25,S01,SKU003,Personal Care,South,258.02,0,0,29,4,20.9,8.1
2025-08-26,S01,SKU003,Personal Care,South,258.47,0,0,20,7,20.17,0.17
2025-08-27,S01,SKU003,Personal Care,South,257.15,0,0,21,3,20.24,0.76
2025-08-28,S01,SKU003,Personal Care,South,257.58,0,0,23,6,20.18,2.82
2025-08-29,S01,SKU003,Personal Care,South,258.14,0,0,13,7,21.27,8.27
2025-08-30,S01,SKU003,Personal Care,South,257.18,0,0,19,5,21.52,2.52
2025-08-31,S01,SKU003,Personal Care,South,263.46,0,0,28,2,21.84,6.16
2025-09-01,S01,SKU003,Personal Care,South,259.89,0,0,20,5,20.04,0.04
2025-09-02,S01,SKU003,Personal Care,South,258.8,0,0,17,7,19.74,2.74
2025-09-03,S01,SKU003,Personal Care,South,259.82,0,0,16,8,20.01,4.01
2025-09-04,S01,SKU003,Personal Care,South,233.67,1,0,23,5,26.25,3.25
2025-09-05,S01,SKU003,Personal Care,South,261.42,0,0,14,9,20.14,6.14
2025-09-06,S01,SKU003,Personal Care,South,262.34,0,0,18,7,21.16,3.16
2025-09-07,S01,SKU003,Personal Care,South,239.86,1,0,32,3,28.57,3.43
2025-09-08,S01,SKU003,Personal Care,South,259.57,0,0,20,7,19.66,0.34
2025-09-09,S01,SKU003,Personal Care,South,241.48,1,0,29,9,26.02,2.98
2025-09-10,S01,SKU003,Personal Care,South,257.65,0,0,18,5,19.89,1.89
2025-09-11,S01,SKU003,Personal Care,South,255.89,0,0,14,3,20.25,6.25
2025-09-12,S01,SKU003,Personal Care,South,251.45,0,0,17,5,19.9,2.9
2025-09-13,S01,SKU003,Personal Care,South,260.01,0,0,20,5,21.23,1.23
2025-09-14,S01,SKU003,Personal Care,South,256.79,0,0,17,8,21.86,4.86
2025-09-15,S01,SKU003,Personal Care,South,259.58,0,0,14,2,19.68,5.68
2025-09-16,S01,SKU003,Personal Care,South,256.19,0,0,24,7,18.72,5.28
2025-09-17,S01,SKU003,Personal Care,South,258.97,0,0,25,2,20.15,4.85
2025-09-18,S01,SKU003,Personal Care,South,257.65,0,0,28,3,19.6,8.4
2025-09-19,S01,SKU003,Personal Care,South,233.55,1,0,27,2,26.24,0.76
2025-09-20,S01,SKU003,Personal Care,South,253.16,0,0,23,7,21.56,1.44
2025-09-21,S01,SKU003,Personal Care,South,261.0,0,0,18,9,22.04,4.04
2025-09-22,S01,SKU003,Personal Care,South,255.66,0,0,14,7,20.13,6.13
2025-09-23,S01,SKU003,Personal Care,South,235.81,1,0,34,3,25.53,8.47
2025-09-24,S01,SKU003,Personal Care,South,262.87,0,0,14,5,20.09,6.09
2025-09-25,S01,SKU003,Personal Care,South,261.86,0,0,17,9,20.1,3.1
2025-09-26,S01,SKU003,Personal Care,South,238.39,1,0,22,4,25.63,3.63
2025-09-27,S01,SKU003,Personal Care,South,259.87,0,0,30,4,21.23,8.77
2025-09-28,S01,SKU003,Personal Care,South,259.68,0,0,24,7,21.17,2.83
