store_id,sku_id,avg_daily_forecast,forecast_std,lead_time_days,safety_stock,reorder_point
S03,SKU011,58.14,7.15,6.0,28.88,377.73
S03,SKU012,57.44,8.14,6.0,32.89,377.54
S03,SKU013,37.17,4.51,5.0,16.66,202.48
S03,SKU014,68.03,8.69,5.0,32.07,372.24
S03,SKU015,24.31,3.09,5.0,11.39,132.93
S03,SKU016,62.94,6.99,5.0,25.79,340.5
S03,SKU017,57.78,6.79,5.0,25.05,313.94
S03,SKU018,72.63,6.88,6.0,27.82,463.62
S03,SKU019,34.01,3.78,5.0,13.94,183.99
S03,SKU020,53.25,6.79,6.0,27.46,346.93
S04,SKU001,25.23,3.62,6.0,14.65,166.04
S04,SKU002,33.79,3.88,5.0,14.33,183.28
S04,SKU003,26.7,3.81,5.0,14.05,147.56
S04,SKU004,57.06,6.65,6.0,26.86,369.24
S04,SKU005,26.74,3.28,6.0,13.24,173.7
S04,SKU006,42.73,5.33,6.0,21.53,277.89
S04,SKU007,52.21,7.16,6.0,28.95,342.19
S04,SKU008,64.9,8.07,5.0,29.78,354.26
S04,SKU009,39.3,4.78,5.0,17.62,214.13
S04,SKU010,61.1,8.02,5.0,29.59,335.1
S04,SKU011,23.21,3.37,6.0,13.61,152.86
S04,SKU012,60.63,7.41,5.0,27.32,330.46
S04,SKU013,53.57,6.02,5.0,22.2,290.04
S04,SKU014,45.83,4.72,5.0,17.4,246.53
S04,SKU015,26.76,3.97,5.0,14.65,148.44
S04,SKU016,44.61,5.2,5.0,19.17,242.22
S04,SKU017,19.95,3.53,6.0,14.26,133.96
S04,SKU018,37.81,5.09,5.0,18.77,207.8
S04,SKU019,31.68,4.56,6.0,18.43,208.52
S04,SKU020,24.56,3.18,5.0,11.72,134.51
S05,SKU001,36.07,4.22,5.0,15.55,195.91
S05,SKU002,57.32,7.18,6.0,29.01,372.94
S05,SKU003,67.9,8.26,6.0,33.39,440.79
S05,SKU004,58.81,8.17,6.0,33.0,385.86
S05,SKU005,20.13,2.74,5.0,10.1,110.77
S05,SKU006,23.33,2.88,6.0,11.65,151.63
S05,SKU007,67.14,8.52,5.0,31.43,367.12
S05,SKU008,25.22,2.74,5.0,10.1,136.21
S05,SKU009,59.33,7.31,6.0,29.54,385.49
S05,SKU010,65.03,7.5,6.0,30.3,420.46
S05,SKU011,44.94,5.1,5.0,18.83,243.53
S05,SKU012,39.88,5.0,5.0,18.45,217.86
S05,SKU013,48.2,6.92,5.0,25.54,266.56
S05,SKU014,41.0,5.38,5.0,19.85,224.86
S05,SKU015,29.45,3.68,5.0,13.59,160.82
S05,SKU016,64.96,7.28,7.0,31.8,486.53
S05,SKU017,36.44,4.19,6.0,16.93,235.55
S05,SKU018,57.08,7.09,5.0,26.17,311.57
S05,SKU019,24.82,3.63,5.0,13.39,137.5
S05,SKU020,65.08,9.01,5.0,33.25,358.64
